Sun 6 Jul , Itabirito , 1 - 1 , Operario MS-
Sun 6 Jul , Barcelona BA , 4 - 1 , Uniao C.+
Sun 6 Jul , Central SC , 1 - 0 , Santa C. Natal-
Sun 6 Jul , Joinville , 1 - 1 , Marcilio Dias-
Sun 6 Jul , Lagarto , 4 - 0 , Penedense+
Sun 6 Jul , Maracana , 1 - 3 , Altos+
Sun 6 Jul , Parnahyba , 2 - 0 , Iguatu-
Sun 6 Jul , America RN , 0 - 0 , Santa Cruz-
Sun 6 Jul , Manaus , 2 - 1 , Tuna Luso+
Sun 6 Jul , Humaita , 2 - 4 , Trem+
Mon 7 Jul , Treze , 0 - 2 , Horizonte-
Sat 12 Jul , Monte Azul , 0 - 1 , Inter Limeira-
Sat 12 Jul , Nova Iguacu , 1 - 3 , Marica+
Sat 12 Jul , Cascavel , 2 - 1 , Cianorte+
Sat 12 Jul , Itabirito , 0 - 1 , Goiatuba EC-
Sat 12 Jul , Altos , 4 - 2 , Parnahyba+
Sat 12 Jul , Aparecidense , 2 - 1 , Goianesia+
Sat 12 Jul , Operario MS , 1 - 1 , Uberlandia-
Sat 12 Jul , Pouso Alegre , 2 - 0 , Boavista-
Sat 12 Jul , Sampaio Correa , 2 - 0 , Tocantinopolis-
Sat 12 Jul , Trem , 1 - 3 , GAS+
Sat 12 Jul , Sousa , 0 - 1 , Treze-
Sat 12 Jul , Iguatu , 2 - 1 , Maracana+
Sat 12 Jul , Porto Velho , 2 - 2 , Goiania+
Sat 12 Jul , Porto Vitória , 0 - 1 , Rio Branco ES-
Sat 12 Jul , Portuguesa , 2 - 1 , Agua Santa+
Sat 12 Jul , Sergipe , 1 - 2 , Lagarto+
Sat 12 Jul , Uniao C. , 1 - 0 , Jequie-
Sat 12 Jul , Luverdense , 0 - 0 , Mixto-
Sat 12 Jul , Independencia , 0 - 1 , Humaita-
Sat 12 Jul , Imperatriz , 1 - 0 , Maranhao-
Sun 13 Jul , Azuriz , 0 - 0 , Joinville-
Sun 13 Jul , Guarany de Bage , 2 - 1 , Sao Luiz+
Sun 13 Jul , Monte Azul , 1 - 2 , Operario MS+
Sun 13 Jul , Tuna Luso , 2 - 1 , Manauara+
Sun 13 Jul , Capital , 2 - 2 , Ceilandia+
Sun 13 Jul , Barcelona BA , 0 - 1 , Juazeirense-
Sun 13 Jul , Horizonte , 2 - 0 , Ferroviario-
Sun 13 Jul , Penedense , 0 - 1 , ASA-
