Tue 8 Apr , Tigre , 0 - 2 , Newells
Fri 11 Apr , Banfield , 1 - 1 , I. Rivadavia
Sat 12 Apr , Newells , 0 - 0 , Argentinos Jrs
Sat 12 Apr , San Lorenzo , 1 - 0 , A. Tucuman
Sat 12 Apr , Barracas C. , 1 - 0 , Tigre
Sat 12 Apr , Belgrano , 1 - 3 , Boca Juniors
Sun 13 Apr , Gimnasia , 1 - 1 , Estudiantes
Sun 13 Apr , Instituto , 3 - 0 , D. Riestra
Sun 13 Apr , Independiente , 2 - 0 , SM San Juan
Sun 13 Apr , River Plate , 1 - 1 , T. de Cordoba
Mon 14 Apr , Aldosivi , 0 - 2 , Racing Club
Mon 14 Apr , Central Cordoba , 1 - 2 , Huracan
Mon 14 Apr , Defensa y J. , 0 - 0 , Union Santa Fe
Tue 15 Apr , Godoy Cruz , 0 - 0 , Lanus
Tue 15 Apr , Velez Sarsfield , 0 - 1 , Sarmiento
Tue 15 Apr , Platense , 0 - 0 , Rosario Central
Fri 18 Apr , Gimnasia , 0 - 3 , River Plate
Fri 18 Apr , Racing Club , 1 - 0 , Central Cordoba
Fri 18 Apr , T. de Cordoba , 0 - 1 , Velez Sarsfield
Sat 19 Apr , Union Santa Fe , 1 - 1 , Newells
Sat 19 Apr , Lanus , 1 - 1 , Banfield
Sat 19 Apr , Huracan , 1 - 1 , Defensa y J.
Sat 19 Apr , Boca Juniors , 2 - 0 , Estudiantes
Sun 20 Apr , D. Riestra , 0 - 0 , San Lorenzo
Sun 20 Apr , SM San Juan , 1 - 0 , Godoy Cruz
Sun 20 Apr , Sarmiento , 0 - 1 , Platense
Sun 20 Apr , Rosario Central , 3 - 0 , Instituto
Tue 22 Apr , Argentinos Jrs , 3 - 0 , Barracas C.
Tue 22 Apr , Tigre , 0 - 0 , Belgrano
Wed 23 Apr , I. Rivadavia , 1 - 0 , Aldosivi
Sat 26 Apr , Aldosivi , 2 - 1 , Banfield
Sat 26 Apr , San Lorenzo , 0 - 1 , Rosario Central
Sat 26 Apr , Belgrano , 1 - 1 , Argentinos Jrs
Sun 27 Apr , River Plate , 2 - 1 , Boca Juniors
Sun 27 Apr , Instituto , 1 - 1 , Sarmiento
Sun 27 Apr , Lanus , 1 - 0 , SM San Juan
Mon 28 Apr , Independiente , 0 - 0 , D. Riestra
Mon 28 Apr , Barracas C. , 2 - 1 , Union Santa Fe
Mon 28 Apr , Godoy Cruz , 1 - 0 , A. Tucuman
Mon 28 Apr , Defensa y J. , 1 - 2 , Racing Club
Mon 28 Apr , Estudiantes , 0 - 0 , Tigre
Tue 29 Apr , Central Cordoba , 1 - 2 , I. Rivadavia
Tue 29 Apr , Velez Sarsfield , 1 - 0 , Gimnasia
Tue 29 Apr , Newells , 2 - 0 , Huracan
Tue 29 Apr , Platense , 2 - 1 , T. de Cordoba
Thu 1 May , A. Tucuman , 2 - 0 , Independiente
Fri 2 May , Argentinos Jrs , 4 - 0 , Estudiantes
Fri 2 May , Banfield , 3 - 1 , Central Cordoba
Fri 2 May , I. Rivadavia , 3 - 2 , Defensa y J.
Fri 2 May , Racing Club , 1 - 0 , Newells
Fri 2 May , Union Santa Fe , 1 - 1 , Belgrano
Sat 3 May , D. Riestra , 3 - 0 , Godoy Cruz
Sat 3 May , Sarmiento , 1 - 1 , San Lorenzo
Sat 3 May , T. de Cordoba , 1 - 2 , Instituto
Sat 3 May , Rosario Central , 1 - 0 , Independiente
Sun 4 May , A. Tucuman , 1 - 0 , Lanus
Sun 4 May , Huracan , 0 - 1 , Barracas C.
Sun 4 May , Gimnasia , 1 - 0 , Platense
Sun 4 May , SM San Juan , 0 - 3 , Aldosivi
Sun 4 May , Tigre , 1 - 1 , Boca Juniors
Sun 4 May , River Plate , 4 - 1 , Velez Sarsfie
