Sun 24 Aug , Charleston , 4 - 1 , Loudoun Utd
Sat 30 Aug , Detroit City , 1 - 1 , San Antonio
Sat 30 Aug , Indy Eleven , 1 - 3 , Louisville City
Sat 30 Aug , Loudoun Utd , 3 - 1 , Miami FC
Sat 30 Aug , Rhode Island , 1 - 0 , Charleston
Sat 30 Aug , North Carolina , 2 - 3 , Hartford A.
Sat 30 Aug , Tampa Bay , 2 - 1 , Pittsburgh
Sun 31 Aug , Colorado S. , 2 - 0 , FC Tulsa
Sun 31 Aug , New Mexico , 0 - 2 , Sacramento R.
Sun 31 Aug , Oakland Roots , 1 - 0 , Monterey Bay
Sun 31 Aug , Orange County , 4 - 4 , Birmingham L.
Sun 31 Aug , Las Vegas L. , 1 - 0 , Lexington
Sun 31 Aug , Phoenix Rising , 3 - 3 , El Paso
Wed 3 Sep , Hartford A. , 0 - 2 , Indy Eleven
Fri 5 Sep , Lexington , 2 - 1 , North Carolina
Sat 6 Sep , Rhode Island , 0 - 1 , Louisville City
Sat 6 Sep , Phoenix Rising , 0 - 0 , Las Vegas L.
Sat 6 Sep , Detroit City , 4 - 1 , Orange County
Sat 6 Sep , Charleston , 2 - 1 , Indy Eleven
Sat 6 Sep , Miami FC , 0 - 1 , Hartford A.
Sat 6 Sep , Tampa Bay , 0 - 2 , Sacramento R.
Sun 7 Sep , FC Tulsa , 1 - 1 , Birmingham L.
Sun 7 Sep , San Antonio , 0 - 1 , New Mexico
Sun 7 Sep , Colorado S. , 2 - 1 , Monterey Bay
Sun 7 Sep , El Paso , 1 - 2 , Loudoun Utd
Sun 7 Sep , Oakland Roots , 0 - 2 , Pittsburgh
Thu 11 Sep , New Mexico , 4 - 0 , Detroit City
Fri 12 Sep , Lexington , 1 - 1 , Orange County
Fri 12 Sep , North Carolina , 1 - 0 , El Paso
Sat 13 Sep , Loudoun Utd , 2 - 5 , San Antonio
Sat 13 Sep , Pittsburgh , 0 - 2 , Louisville City
Sat 13 Sep , Rhode Island , 1 - 0 , Indy Eleven
Sat 13 Sep , Charleston , 3 - 3 , Oakland Roots
Sat 13 Sep , Tampa Bay , 3 - 3 , Colorado S.
