Sat 31 May , Vegalta Sendai , 1 - 1 , C. Sapporo
Sat 31 May , FC Imabari , 0 - 1 , Tokushima V.
Sat 31 May , Oita Trinita , 2 - 1 , Ventforet Kofu
Sun 1 Jun , Iwaki , 5 - 1 , R. Kumamoto
Sat 7 Jun , FC Imabari , 1 - 1 , Oita Trinita
Sun 8 Jun , Kataller Toyama , 0 - 1 , Mito Hollyhock
Sun 8 Jun , Omiya Ardija , 1 - 1 , Ehime FC
Sat 14 Jun , Mito Hollyhock , 1 - 0 , Sagan Tosu
Sun 15 Jun , C. Sapporo , 2 - 2 , FC Imabari
Sun 15 Jun , Kataller Toyama , 0 - 1 , Fujieda MYFC
Sun 15 Jun , R. Yamaguchi , 2 - 2 , Iwaki
Sun 15 Jun , M. Yamagata , 3 - 4 , Vegalta Sendai
Sun 15 Jun , Jubilo Iwata , 4 - 0 , Ehime FC
Sun 15 Jun , V-V. Nagasaki , 3 - 3 , Omiya Ardija
Sun 15 Jun , Oita Trinita , 1 - 2 , Blaublitz Akita
Sun 15 Jun , Ventforet Kofu , 1 - 1 , R. Kumamoto
Sun 15 Jun , Tokushima V. , 3 - 3 , JEF Utd Chiba
Sat 21 Jun , Iwaki , 3 - 1 , Kataller Toyama
Sat 21 Jun , Ehime FC , 2 - 0 , R. Yamaguchi
Sat 21 Jun , FC Imabari , 1 - 2 , Mito Hollyhock
Sat 21 Jun , Fujieda MYFC , 1 - 3 , C. Sapporo
Sat 21 Jun , JEF Utd Chiba , 0 - 1 , Jubilo Iwata
Sat 21 Jun , Omiya Ardija , 0 - 0 , Sagan Tosu
Sat 21 Jun , Tokushima V. , 2 - 0 , Oita Trinita
Sun 22 Jun , R. Kumamoto , 1 - 3 , Nagasaki
Sun 22 Jun , Blaublitz Akita , 2 - 3 , M. Yamagata
Sun 22 Jun , Vegalta Sendai , 0 - 0 , Ventforet Kofu
Sat 28 Jun , C. Sapporo , 3 - 2 , R. Kumamoto
Sat 28 Jun , Kataller Toyama , 1 - 0 , JEF Utd Chiba
Sat 28 Jun , Mito Hollyhock , 1 - 1 , Tokushima V.
Sat 28 Jun , Ventforet Kofu , 0 - 0 , Ehime FC
Sat 28 Jun , Fujieda MYFC , 0 - 0 , FC Imabari
